Phone Name,price,rating
Samsung Galaxy A10 ,"8,490",4.2
Samsung Galaxy A6 ,"18,990",4
Samsung Galaxy M20 ,"15,499",4
Samsung Galaxy M20 ,"15,499",4.3
Samsung Galaxy M10 ,"10,299",3.8
Samsung Galaxy M10 ,"8,999",4.5
Samsung Galaxy A30 ,"16,990",4.4
Samsung Galaxy A50 ,"19,990",4.5
Samsung Galaxy A30 ,"16,990",4.3
Samsung Galaxy M20 ,"13,499",4
Samsung Galaxy M20 ,"13,499",3.8
Samsung Galaxy M10 ,"9,499",4.7
Samsung Galaxy Note 8 ,"39,990",4.6
Samsung Galaxy S10 Plus ,"73,900",4.6
Samsung Galaxy S10 ,"66,900",4.6
Samsung Galaxy S10e ,"55,000",4.6
Samsung Galaxy S10e ,"55,900",4.6
Samsung Galaxy S10 ,"66,900",4.6
Samsung Galaxy S10 Plus ,"91,900",4.6
Samsung Galaxy S10 ,"78,900",4.6
Samsung Galaxy S10 Plus ,"71,999",4.6
Samsung Galaxy S10 ,"66,900",4.6
Samsung Galaxy S10 Plus ,"73,900",4.7
Samsung Galaxy J6 ,"10,499",4.4
Samsung Metro 313 Dual Sim,"2,000",4.2
Samsung Galaxy Note 5 64GB Single Sim - Gold ,"35,900",3.9
Samsung Galaxy J6 ,"10,499",4.4
Samsung Guru Music 2,"1,810",4.3
Samsung Galaxy J1 Ace ,"5,999",3.8
Samsung B350,"3,000",4
Samsung Metro 350,"3,013",4.1
Samsung Metro 350,"3,062",4.1
Samsung Galaxy J2 ,"7,400",4.1
Samsung Galaxy Note 5 64GB Silver ,"39,900",4.8
Samsung B351E/Metro 350,"3,000",4.1
Samsung Galaxy A10 ,"8,490",4.2
Samsung Z2 ,"4,790",3.5
Samsung Galaxy A6 ,"18,990",4.3
Samsung Metro XL,"3,225",4.2
Samsung Guru 1200,"1,100",4.2
Samsung Guru FM Plus,"1,462",4.2
Samsung Galaxy J4 Plus ,"8,499",4.3
Samsung Guru FM Plus,"1,549",4.2
Samsung Guru FM Plus,"1,499",4.2
Samsung Metro 350,"3,200",3.9
Samsung Galaxy Note 5 32GB ,"32,000",4.2
Samsung Galaxy J2 ,"7,400",4.1
Samsung Galaxy Note 5 ,"39,999",3.8
Samsung Galaxy S8 Plus ,"53,990",4.6
Samsung Galaxy On Max ,"10,990",4.3
Samsung Galaxy A6 ,"18,990",4
Samsung Galaxy M20 ,"15,499",4
Samsung Z2 ,"4,790",3.5
Samsung Galaxy On Nxt ,"15,900",4.3
Samsung Galaxy M10 ,"10,490",4.3
Samsung Galaxy A50 ,"23,990",4.5
Samsung Galaxy A30 ,"16,990",4.4
Samsung Galaxy A50 ,"21,000",4.3
Samsung Galaxy J2 2018 ,"7,499",4.2
Samsung Galaxy J2 2018 ,"7,499",4.2
Samsung Galaxy J2 2018 ,"7,499",4.2
Samsung Galaxy S9 Plus ,"64,900",4.7
Samsung Galaxy J6 Plus ,"12,990",4.3
Samsung Metro 350,"3,007",4.1
Samsung Guru FM Plus,"1,462",4.2
Samsung Galaxy A8 ,"17,499",4.2
Samsung Guru Music 2 ,"1,625",4.1
Samsung Galaxy Note 5 ,"30,495",3.8
Samsung Metro B312E Dual Sim - White,"1,599",4.3
Samsung SAMSUNG Metro 350 Dual Sim,"3,000",4.1
Samsung Galaxy J5 ,"10,490",4.3
Samsung Galaxy On Max ,"10,990",4.3
Samsung J7 Max ,"11,046",4.3
Samsung Galaxy Trend ,"4,999",3.5
Samsung Galaxy M20 ,"15,499",4.3
Samsung Galaxy Note Edge ,"29,950",3.3
Samsung Galaxy On Nxt ,"15,900",4.3
Samsung Galaxy A9 Pro ,"22,900",4.3
Samsung Galaxy A9 Pro ,"19,980",4.3
Samsung Galaxy A9 Pro ,"19,999",4.3
Samsung Galaxy A50 ,"23,000",2.7
Samsung Guru FM Plus,"4,100",4.7
Samsung Galaxy S10 Plus ,"1,17,900",4.5
Samsung Galaxy J7 Duo ,"17,889",4.3
Samsung Galaxy J7 Duo ,"14,999",4.3
Samsung Galaxy J7 Prime 2 ,"12,990",4.3
Samsung Galaxy S9 ,"61,900",4.6
Samsung Galaxy S9 ,"61,900",4.6
Samsung Galaxy A8 Star ,"34,990",4.3
Samsung Galaxy A8 Star ,"24,990",4.3
Samsung Galaxy J2 Core ,"5,990",4.2
Samsung Galaxy J2 Core ,"5,949",4.2
Samsung Galaxy J2 Core ,"5,990",4.2
Samsung Metro 313,"2,149",4
Samsung Guru Music 2,"1,760",4.3
Samsung Guru FM Plus,"1,500",4.2
Samsung Guru Music 2,"1,625",4.3
Samsung Galaxy Mega 2 ,"14,990",3.8
Samsung Galaxy Note 5 ,"29,990",3.8
Samsung E1207 Guru FM Dual Sim ,"1,600",3.6
Samsung Galaxy Core Prime G361 Dual Sim,"7,999",3.6
Samsung Galaxy J5 ,"8,999",4.3
Samsung Metro 313,"1,899",4
Samsung Galaxy Core Prime 4G ,"6,999",4
Samsung Galaxy S6 Edge ,"49,600",4
Samsung J7 Max ,"16,500",4.3
Samsung Galaxy S8 Plus ,"66,900",4.6
Samsung Metro 313 Dual Sim,"2,025",4.2
Samsung Galaxy J5 Prime ,"12,500",4.2
Samsung Galaxy Star Pro ,"4,199",3.7
Samsung Primo,"5,700",4.2
Samsung Galaxy Trend ,"1,076",3.5
Samsung Galaxy Mega 5.8 ,"12,500",3.8
Samsung Galaxy M10 ,"10,299",3.8
Samsung Galaxy M10 ,"8,999",4.5
Samsung Galaxy A30 ,"16,990",4.5
Samsung Galaxy A30 ,"16,990",4.3
Samsung Galaxy Mega 2 ,"17,450",3.8
Samsung Galaxy Core Prime ,"7,139",4.1
Samsung Galaxy Core Prime ,"6,969",4.1
Samsung Galaxy Note 4 ,"29,999",4.1
Samsung Galaxy Note 4 ,"27,900",4.1
Samsung Galaxy On8 ,"13,490",4.2
Samsung Galaxy J7 Prime ,"10,999",4.2
Samsung Galaxy Note 5 ,"34,999",4.1
Samsung Galaxy Note 5 ,"46,300",4.1
Samsung Galaxy S9 Plus ,"56,900",4.4
Samsung On5 Pro ,"7,250",4.1
Samsung Galaxy A6 ,"13,990",3.5
Samsung On7 Pro ,"7,999",3.5
Samsung Galaxy Folder 2 ,"16,400",4.7
Samsung Galaxy S9 ,"57,900",4.6
Samsung Galaxy S9 ,"57,900",4.6
Samsung Galaxy S9 Plus ,"57,900",4.7
Samsung Galaxy S9 ,"65,900",4.6
Samsung Galaxy S9 ,"57,900",4.6
Samsung Galaxy A8 Plus ,"29,990",4.2
Samsung Galaxy Note 9,"67,900",4.6
Samsung Guru FM Plus,"1,500",4.2
Samsung Metro 313,"2,149",4.1
Samsung Guru Plus B110,"1,700",4
Samsung Guru FM Plus,"1,549",4.2
Samsung Metro B313E Dual Sim,"1,999",4.1
Samsung Galaxy Core Prime ,"5,490",4.1
Samsung Sm-G361Hhadins ,"7,849",4.1
Samsung Metro 313,"2,340",4.1
Samsung Galaxy S6 ,"19,999",4
Samsung Galaxy J5 Prime ,"13,500",4.2
Samsung Metro 313 Dual Sim,"2,025",4.2
Samsung Galaxy J3 Pro ,"8,490",4.2
Samsung Galaxy On Nxt ,"10,490",4.3
Samsung Galaxy Mega,"26,094",3.9
Samsung Galaxy Note 3 ,"18,999",4.1
Samsung Galaxy Grand I9082 ,"8,999",4
Samsung Galaxy M20 ,"13,499",4
Samsung Galaxy M20 ,"13,499",3.8
Samsung Galaxy M10 ,"9,499",4.7
Samsung Galaxy Note 8 ,"39,990",4.6
Samsung Galaxy Note 4,"27,990",4.1
Samsung Galaxy Note 4 ,"29,999",4.1
Samsung Galaxy Alpha ,"19,999",3.6
Samsung Galaxy Alpha ,"19,999",3.6
Samsung Galaxy J2 ,"6,990",4
Samsung Galaxy J2 ,"7,950",4
Samsung Galaxy Note 5,"34,999",4.1
Samsung Metro XL,"2,999",4.2
Samsung Galaxy J7 - 6,"13,800",4.3
Samsung Galaxy Folder 2 ,"16,999",4.5
Samsung Galaxy S9 Plus ,"61,900",4.6
Samsung Galaxy S8 ,"34,990",4.7
Samsung Galaxy S9 Plus ,"57,900",4.7
Samsung On7 Pro ,"7,979",4.1
Samsung Galaxy Note 9 ,"67,900",4.6
Samsung Galaxy Note 9 ,"74,900",4.7
Samsung Galaxy Note 9 ,"74,900",4.7
Samsung Galaxy Note 9 ,"76,900",4.7
Samsung Galaxy Note 9 ,"67,900",4.6
Samsung Metro 313,"2,149",4
Samsung Galaxy S6 Edge ,"37,299",4
Samsung Galaxy A7 ,"13,499",4.1
Samsung Metro 313,"2,390",3.8
Samsung Galaxy J1 Ace ,"4,499",3.8
Samsung Galaxy J1 Ace ,"5,850",4
Samsung Grand Prime 4G ,"7,899",3.8
Samsung Galaxy S6 Edge,"39,900",4
Samsung Galaxy S6 Edge ,"32,899",4
Samsung Galaxy S6 ,"29,999",4
Samsung Galaxy On Nxt ,"10,490",4.3
Samsung Galaxy S8 Plus ,"53,990",4.6
Samsung Galaxy S8 Plus ,"53,990",4.6
Samsung Galaxy Grand Duos ,"19,521",3.9
Samsung Galaxy Grand Quattro ,"5,999",4
Samsung Galaxy S4 Mini ,"15,049",3.7
Samsung Galaxy S4 Zoom ,"15,990",3.8
Samsung Galaxy S4 Mini,"14,000",3.7
Samsung Galaxy S10e ,"55,900",4.6
Samsung Galaxy S10e ,"55,000",4.6
Samsung Galaxy S10 ,"66,900",4.6
Samsung Galaxy S10 Plus ,"91,900",4.6
Samsung Grand Prime,"8,500",4
Samsung Grand Prime ,"7,992",4
Samsung Galaxy Star Advance ,"4,899",3.8
Samsung Galaxy Grand 2 ,"7,999",4.1
Samsung Galaxy Star Advance ,"5,499",3.8
Samsung Galaxy A5,"14,490",4.1
Samsung Galaxy A7 ,"17,490",4.1
Samsung Galaxy J5 - 6 ,"10,990",4.2
Samsung Galaxy S9 ,"61,900",4.7
Samsung Galaxy S9 Plus ,"61,900",4.7
Samsung Galaxy S9 Plus,"61,900",4.3
Samsung Galaxy Note 8 ,"39,990",4.7
Samsung Galaxy On Nxt ,"10,999",4.3
Samsung Galaxy Note 9 ,"65,000",4.6
Samsung Galaxy On8 ,"16,990",4.4
Samsung Galaxy On8 ,"16,990",4.4
Samsung Galaxy A6 ,"16,990",4.4
Samsung Galaxy A6 ,"16,990",4.4
Samsung Galaxy Grand Prime 4g ,"8,990",4.2
Samsung Galaxy S6 Edge+ ,"38,000",4.2
Samsung Galaxy S6 ,"32,750",4
Samsung Galaxy S6 Edge ,"44,900",4
Samsung Z1 ,"3,990",3.5
Samsung Z1 ,"3,990",3.5
Samsung Galaxy S8,"30,990",4.5
Samsung Galaxy S8 ,"30,990",4.5
Samsung Galaxy S8 Plus ,"53,990",4.6
Samsung Galaxy Core ,"12,900",3.9
Samsung Galaxy Core,"7,999",3.9
Samsung Galaxy Mega 6.3 ,"26,094",3.9
Samsung Galaxy Pocket Neo ,"7,473",3.8
Samsung Galaxy Star ,"4,199",3.7
Samsung Galaxy S10 ,"78,900",4.6
Samsung Galaxy S10 Plus ,"71,999",4.6
Samsung Galaxy S10 ,"66,900",4.6
Samsung Galaxy S10 Plus ,"73,900",4.6
Samsung Galaxy S10 Plus ,"73,900",4.6
Samsung Galaxy S Duos 3 ,"1,999",4
Samsung Galaxy S Duos 3 ,"1,247",4
Samsung Galaxy Ace NXT ,"5,249",3.7
Samsung Galaxy J7 - 6 ,"7,490",4.3
Samsung Galaxy J7 - 6,"13,800",4.3
Samsung Tizen Z3 ,"5,590",3.2
Samsung Galaxy S7 ,"21,990",4.4
Samsung Galaxy A5 2016 Edition ,"14,490",4.1
Samsung Galaxy S9 Plus ,"61,900",4.3
Samsung Galaxy J7 Prime 2 ,"11,990",4.4
